kabupaten_kota,jenis_wilayah,total_penduduk,jumlah_koperasi_aktif,jumlah_koperasi_tidak_aktif,jumlah_koperasi_total,jumlah_karyawan,jumlah_manager,usaha_besar,usaha_kecil,usaha_menengah,usaha_mikro,rasio_usaha_mikro,rasio_koperasi_aktif,periode_update,jumlah_penduduk_laki_laki,jumlah_penduduk_perempuan,jumlah_karyawan_win,usaha_kecil_win,usaha_menengah_win
Kabupaten Pacitan,Kabupaten,296469.0,436,116,552,2512,29,0,54,1,381,1.285125932222256,14.70642799078487,2018-Q4,148895.0,147574.0,2512,54,1
Kabupaten Ponorogo,Kabupaten,481062.5,795,188,983,496,52,0,124,1,670,1.392750422242432,16.52591918929453,2018-Q4,240247.5,240815.0,496,124,1
Kabupaten Trenggalek,Kabupaten,374216.0,352,353,705,163,29,0,87,2,263,0.7028026594266413,9.40633217179383,2018-Q4,188210.5,186005.5,163,87,2
Kabupaten Tulungagung,Kabupaten,554773.5,699,672,1371,672,59,1,107,2,589,1.0616945474143953,12.599736649281192,2018-Q4,277170.0,277603.5,672,107,2
Kabupaten Blitar,Kabupaten,615079.5,448,540,988,687,63,0,76,0,372,0.6047998673342226,7.283611305530423,2018-Q4,311482.0,303597.5,687,76,0
Kabupaten Kediri,Kabupaten,823917.5,782,643,1425,1886,96,0,150,5,627,0.7609985223035073,9.491241538139437,2018-Q4,415839.0,408078.5,1886,150,5
Kabupaten Malang,Kabupaten,1246055.0,1319,34,1353,357,45,2,268,4,1045,0.8386467692036066,10.585407546215857,2018-Q4,632179.0,613876.0,357,268,4
Kabupaten Lumajang,Kabupaten,562378.0,460,206,666,343,15,0,92,1,367,0.652585983093222,8.179551831686162,2018-Q4,279517.0,282861.0,343,92,1
Kabupaten Jember,Kabupaten,1278307.0,431,1393,1824,4204,104,0,191,4,236,0.1846191877225111,3.3716470300170456,2018-Q4,640641.5,637665.5,4204,191,4
Kabupaten Banyuwangi,Kabupaten,866513.5,479,397,876,854,61,0,190,4,285,0.32890428135280064,5.52790002694707,2018-Q4,435163.0,431350.5,854,190,4
Kabupaten Bondowoso,Kabupaten,396635.5,477,463,940,691,59,0,71,0,406,1.0236098382519971,12.026154996211888,2018-Q4,197562.0,199073.5,691,71,0
Kabupaten Situbondo,Kabupaten,343459.0,374,362,736,8718,51,0,57,1,316,0.9200515927665311,10.889218218186159,2018-Q4,168806.5,174652.5,5593,57,1
Kabupaten Probolinggo,Kabupaten,562494.5,658,136,794,423,53,0,69,2,587,1.0435657593096466,11.69789215716776,2018-Q4,277300.5,285194.0,423,69,2
Kabupaten Pasuruan,Kabupaten,792464.5,939,114,1053,1917,355,5,122,7,805,1.0158183741984657,11.849111222016885,2018-Q4,396832.0,395632.5,1917,122,7
Kabupaten Sidoarjo,Kabupaten,941217.5,726,840,1566,694,40,2,184,9,531,0.5641629060233155,7.7134137433696255,2018-Q4,472047.5,469170.0,694,184,9
Kabupaten Mojokerto,Kabupaten,560124.5,706,210,916,3136,72,0,156,7,543,0.969427332673361,12.604340642125099,2018-Q4,282003.5,278121.0,3136,156,7
Kabupaten Jombang,Kabupaten,662561.0,731,131,862,1055,29,1,109,3,618,0.9327443058073144,11.032946400406907,2018-Q4,333110.5,329450.5,1055,109,3
Kabupaten Nganjuk,Kabupaten,556071.0,397,496,893,12,64,2,98,1,296,0.5323061263759484,7.139376086866605,2018-Q4,279485.5,276585.5,154,98,1
Kabupaten Madiun,Kabupaten,370408.0,657,139,796,463,13,0,49,0,608,1.641433230383793,17.73719790069329,2018-Q4,184110.5,186297.5,463,49,0
Kabupaten Magetan,Kabupaten,345969.5,510,311,821,461,31,0,95,0,415,1.1995277040317136,14.741183832678892,2018-Q4,170020.5,175949.0,461,95,0
Kabupaten Ngawi,Kabupaten,453464.5,622,141,763,1002,32,0,88,0,534,1.177600451634031,13.716619492815866,2018-Q4,226357.5,227107.0,1002,88,0
Kabupaten Bojonegoro,Kabupaten,662869.5,698,572,1270,840,38,1,103,0,594,0.8961039842683967,10.529976111436717,2018-Q4,333726.5,329143.0,840,103,0
Kabupaten Tuban,Kabupaten,599366.0,591,691,1282,310,78,1,101,4,485,0.8091883757170076,9.860419176262917,2018-Q4,300431.5,298934.5,310,101,4
Kabupaten Lamongan,Kabupaten,680656.0,1057,219,1276,2154,175,0,143,5,909,1.3354763639782798,15.529136597635222,2018-Q4,340755.5,339900.5,2154,143,5
Kabupaten Gresik,Kabupaten,632634.0,594,783,1377,1589,45,3,127,4,460,0.727118681575761,9.389315149043522,2018-Q4,317987.5,314646.5,1589,127,4
Kabupaten Bangkalan,Kabupaten,533445.0,149,665,814,394,30,0,75,0,74,0.13872095529998404,2.79316518104022,2018-Q4,265050.0,268395.0,394,75,0
Kabupaten Sampang,Kabupaten,427235.0,280,170,450,1034,73,1,54,0,225,0.5266422460706637,6.553770173323815,2018-Q4,214102.0,213133.0,1034,54,0
Kabupaten Pamekasan,Kabupaten,410469.5,339,321,660,499,38,0,54,2,283,0.6894543930791447,8.258835309322617,2018-Q4,200832.0,209637.5,499,54,2
Kabupaten Sumenep,Kabupaten,565264.5,1209,117,1326,170,9,2,14,0,1193,2.1105164042673827,21.388217374344226,2018-Q4,274600.0,290664.5,170,14,0
Kota Kediri,Kota,146004.5,470,62,532,1669,149,1,46,1,422,2.890321873640881,32.190788640076164,2018-Q4,72472.5,73532.0,1669,46,1
Kota Blitar,Kota,78366.5,257,85,342,320,31,0,65,0,192,2.4500264781507406,32.79462525441356,2018-Q4,39036.5,39330.0,320,65,0
Kota Malang,Kota,423689.0,366,445,811,286,7,3,173,6,184,0.4342808050244401,8.638411665160058,2018-Q4,211269.0,212420.0,286,173,6
