KABUPATEN / KOTA,PERIODE UPDATE,JUMLAH KOPERASI AKTIF,JUMLAH KOPERASI TIDAK AKTIF,JUMLAH KARYAWAN,JUMLAH MANAGER,JUMLAH KOPERASI TOTAL,USAHA BESAR,USAHA KECIL,USAHA MENENGAH,USAHA MIKRO,JUMLAH PENDUDUK LAKI LAKI,JUMLAH PENDUDUK PEREMPUAN
Kabupaten Pacitan,2018-Q4,436,116,2512,29,552,0,54,1,381,148895,147574
Kabupaten Ponorogo,2018-Q4,795,188,496,52,983,0,124,1,670,240248,240815
Kabupaten Trenggalek,2018-Q4,352,353,163,29,705,0,87,2,263,188211,186006
Kabupaten Tulungagung,2018-Q4,699,672,672,59,1371,1,107,2,589,277170,277604
Kabupaten Blitar,2018-Q4,448,540,687,63,988,0,76,0,372,311482,303598
Kabupaten Kediri,2018-Q4,782,643,1886,96,1425,0,150,5,627,415839,408079
Kabupaten Malang,2018-Q4,1319,34,357,45,1353,2,268,4,1045,632179,613876
Kabupaten Lumajang,2018-Q4,460,206,343,15,666,0,92,1,367,279517,282861
Kabupaten Jember,2018-Q4,431,1393,4204,104,1824,0,191,4,236,640642,637666
Kabupaten Banyuwangi,2018-Q4,479,397,854,61,876,0,190,4,285,435163,431351
Kabupaten Bondowoso,2018-Q4,477,463,691,59,940,0,71,0,406,197562,199074
Kabupaten Situbondo,2018-Q4,374,362,8718,51,736,0,57,1,316,168807,174653
Kabupaten Probolinggo,2018-Q4,658,136,423,53,794,0,69,2,587,277301,285194
Kabupaten Pasuruan,2018-Q4,939,114,1917,355,1053,5,122,7,805,396832,395633
Kabupaten Sidoarjo,2018-Q4,726,840,694,40,1566,2,184,9,531,472048,469170
Kabupaten Mojokerto,2018-Q4,706,210,3136,72,916,0,156,7,543,282004,278121
Kabupaten Jombang,2018-Q4,731,131,1055,29,862,1,109,3,618,333111,329451
Kabupaten Nganjuk,2018-Q4,397,496,12,64,893,2,98,1,296,279486,276586
Kabupaten Madiun,2018-Q4,657,139,463,13,796,0,49,0,608,184111,186298
Kabupaten Magetan,2018-Q4,510,311,461,31,821,0,95,0,415,170021,175949
Kabupaten Ngawi,2018-Q4,622,141,1002,32,763,0,88,0,534,226358,227107
Kabupaten Bojonegoro,2018-Q4,698,572,840,38,1270,1,103,0,594,333727,329143
Kabupaten Tuban,2018-Q4,591,691,310,78,1282,1,101,4,485,300432,298935
Kabupaten Lamongan,2018-Q4,1057,219,2154,175,1276,0,143,5,909,340756,339901
Kabupaten Gresik,2018-Q4,594,783,1589,45,1377,3,127,4,460,317988,314647
Kabupaten Bangkalan,2018-Q4,149,665,394,30,814,0,75,0,74,265050,268395
Kabupaten Sampang,2018-Q4,280,170,1034,73,450,1,54,0,225,214102,213133
Kabupaten Pamekasan,2018-Q4,339,321,499,38,660,0,54,2,283,200832,209638
Kabupaten Sumenep,2018-Q4,1209,117,170,9,1326,2,14,0,1193,274600,290665
Kota Kediri,2018-Q4,470,62,1669,149,532,1,46,1,422,72473,73532
Kota Blitar,2018-Q4,257,85,320,31,342,0,65,0,192,39037,39330
Kota Malang,2018-Q4,366,445,286,7,811,3,173,6,184,211269,212420
Kota Probolinggo,2018-Q4,162,96,3221,302,258,0,47,1,114,59074,60051
Kota Pasuruan,2018-Q4,117,217,583,40,334,1,29,0,87,52318,52252
Kota Mojokerto,2018-Q4,151,38,435,23,189,0,59,0,92,35711,36203
Kota Madiun,2018-Q4,154,161,394,17,315,0,73,0,81,50290,52481
Kota Surabaya,2018-Q4,1630,544,484,29,2174,6,265,10,1349,725308,732647
Kota Batu,2018-Q4,100,111,384,11,211,0,32,1,67,52855,52112
Kabupaten Pacitan,2019-Q4,439,116,394,30,555,0,54,1,384,149800,148473
Kabupaten Ponorogo,2019-Q4,838,190,854,61,1028,0,124,1,713,242295,243302
Kabupaten Trenggalek,2019-Q4,363,357,687,63,720,0,87,2,274,188616,186510
Kabupaten Tulungagung,2019-Q4,704,684,840,38,1388,1,107,2,594,279633,279775
Kabupaten Blitar,2019-Q4,457,544,691,59,1001,0,76,0,381,315256,308071
Kabupaten Kediri,2019-Q4,792,651,1589,45,1443,0,150,5,637,419643,411612
Kabupaten Malang,2019-Q4,1335,33,4204,104,1368,2,268,4,1061,645582,629322
Kabupaten Lumajang,2019-Q4,459,207,1055,29,666,0,92,1,366,280819,283570
Kabupaten Jember,2019-Q4,430,1408,1886,96,1838,0,191,4,235,644324,640119
Kabupaten Banyuwangi,2019-Q4,478,417,2154,175,895,0,190,4,284,438945,434887
Kabupaten Bondowoso,2019-Q4,452,492,343,15,944,0,71,0,381,198349,200447
Kabupaten Situbondo,2019-Q4,375,365,463,13,740,0,57,1,317,170300,175512
Kabupaten Probolinggo,2019-Q4,666,137,461,31,803,0,69,2,595,280474,288693
Kabupaten Pasuruan,2019-Q4,1009,117,3570,45,1126,5,122,7,875,399028,397012
Kabupaten Sidoarjo,2019-Q4,976,616,3136,72,1592,2,184,9,781,483456,479839
Kabupaten Mojokerto,2019-Q4,661,262,1200,64,923,0,156,7,498,286205,283010
Kabupaten Jombang,2019-Q4,734,133,1002,32,867,1,109,3,621,337480,334127
Kabupaten Nganjuk,2019-Q4,387,509,2512,29,896,2,98,1,286,282526,279206
Kabupaten Madiun,2019-Q4,527,276,499,38,803,0,49,0,478,186024,188510
Kabupaten Magetan,2019-Q4,513,315,1917,355,828,0,95,0,418,171669,177870
Kabupaten Ngawi,2019-Q4,632,143,496,52,775,0,88,0,544,227882,228895
Kabupaten Bojonegoro,2019-Q4,697,585,423,53,1282,1,103,0,593,336205,331716
Kabupaten Tuban,2019-Q4,603,687,1034,73,1290,1,101,4,497,303725,302002
Kabupaten Lamongan,2019-Q4,1076,215,694,40,1291,0,143,5,928,344182,342514
Kabupaten Gresik,2019-Q4,610,790,8718,51,1400,3,127,4,476,320441,317091
Kabupaten Bangkalan,2019-Q4,153,665,170,9,818,0,75,0,78,267386,270781
Kabupaten Sampang,2019-Q4,281,172,163,29,453,1,54,0,226,215494,214831
Kabupaten Pamekasan,2019-Q4,365,300,310,78,665,0,54,2,309,202458,211045
Kabupaten Sumenep,2019-Q4,1208,118,672,59,1326,2,14,0,1192,275535,291530
Kota Kediri,2019-Q4,480,64,384,11,544,1,46,1,432,73066,74409
Kota Blitar,2019-Q4,256,86,320,31,342,0,65,0,191,39311,39629
Kota Malang,2019-Q4,366,455,1669,149,821,3,173,6,184,214381,215845
